id_penjualan,id_invoice,tanggal,id_customer,nama_customer,id_barang,nama_barang,harga,jumlah_barang,unit,total_harga_per_barang,mata_uang,kode_brand,brand,cabang_sales,id_distributor,group_category
IN6190BRG0001,IN6190,2022-01-23,CUST55390,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,2,DUS,2339.8200000000002,IDR,206,OGB & PH,Bandung,TA,Apotek
IN6287BRG0002,IN6287,2022-01-30,CUST55391,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,17,DUS,39737.5,IDR,203,ETIKAL,Tangerang,TD,Klinik
IN6102BRG0003,IN6102,2022-01-31,CUST55392,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,10690.6,11,DUS,117596.60000000001,IDR,210,MARCKS,Bekasi,TA,Apotek
IN6301BRG0004,IN6301,2022-02-01,CUST55393,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,11,DUS,95707.700000000012,IDR,201,VNS,Padang,EPM,Apotek
IN6024BRG0005,IN6024,2022-01-27,CUST55394,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,12,DUS,67779.600000000006,IDR,203,SLCYL,Lampung,TD,Klinik
IN6184BRG0006,IN6184,2022-01-28,CUST55395,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,25,DUS,70480,IDR,205,OGB & PH,Aceh,EPM,Apotek
IN6307BRG0007,IN6307,2022-01-23,CUST55396,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,13,DUS,59697.300000000003,IDR,206,ETIKAL,Kuningan,TA,Apotek
IN6245BRG0008,IN6245,2022-01-30,CUST55397,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,34,DUS,135724.60000000001,IDR,204,MARCKS,Jakarta,TA,Klinik
IN6195BRG0009,IN6195,2022-01-31,CUST55398,APOTEK MERDEKA,BRG0009,AMBROXOL HC,5780.6999999999998,67,DUS,387306.89999999997,IDR,207,VNS,Bandung,TA,Apotek
IN6023BRG0010,IN6023,2022-02-01,CUST55399,KLINIK SAHABAT,BRG0010,PARACETAMOL,6940.3000000000002,15,DUS,104104.5,IDR,208,SLCYL,Tangerang,TD,Klinik
IN6113BRG0001,IN6113,2022-01-27,CUST55400,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,12,DUS,14038.920000000002,IDR,206,OGB & PH,Bekasi,TA,Apotek
IN6141BRG0002,IN6141,2022-01-28,CUST55401,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,25,DUS,58437.5,IDR,203,ETIKAL,Padang,EPM,Apotek
IN6125BRG0003,IN6125,2022-01-23,CUST55402,APOTEK TAPAK,BRG0003,AMPICILLIN,10690.6,13,DUS,138977.80000000002,IDR,210,MARCKS,Aceh,EPM,Apotek
IN6176BRG0004,IN6176,2022-01-30,CUST55403,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,17,DUS,147911.90000000002,IDR,201,VNS,Kuningan,TA,Apotek
IN6175BRG0005,IN6175,2022-01-31,CUST55404,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,18,DUS,101669.40000000001,IDR,203,SLCYL,Jakarta,TA,Klinik
IN6259BRG0006,IN6259,2022-02-01,CUST55405,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,18,DUS,50745.599999999999,IDR,205,OGB & PH,Bandung,TA,Apotek
IN6173BRG0001,IN6173,2022-01-27,CUST55406,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,4592.1000000000004,12,DUS,55105.200000000004,IDR,206,OGB & PH,Tangerang,TD,Klinik
IN6013BRG0002,IN6013,2022-01-28,CUST55407,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,3991.9000000000001,25,DUS,99797.5,IDR,203,ETIKAL,Bekasi,TA,Apotek
IN6086BRG0003,IN6086,2022-01-23,CUST55408,APOTEK SAHABAT,BRG0003,AMPICILLIN,5780.6999999999998,13,DUS,75149.099999999991,IDR,210,MARCKS,Padang,EPM,Apotek
IN6108BRG0004,IN6108,2022-01-30,CUST55409,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,6940.3000000000002,21,DUS,145746.30000000002,IDR,201,VNS,Lampung,TD,Klinik
IN6321BRG0001,IN6321,2022-01-31,CUST55410,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,1169.9100000000001,21,DUS,24568.110000000001,IDR,206,OGB & PH,Aceh,EPM,Apotek
IN5994BRG0002,IN5994,2022-02-01,CUST55411,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,2337.5,12,DUS,28050,IDR,203,ETIKAL,Kuningan,TA,Apotek
IN6146BRG0003,IN6146,2022-01-27,CUST55412,KLINIK GM,BRG0003,AMPICILLIN,10690.6,25,DUS,267265,IDR,210,MARCKS,Jakarta,TA,Klinik
IN6230BRG0004,IN6230,2022-01-28,CUST55413,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,13,DUS,113109.10000000001,IDR,201,VNS,Bandung,TA,Apotek
IN5991BRG0005,IN5991,2022-01-23,CUST55414,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,24,DUS,135559.20000000001,IDR,203,SLCYL,Tangerang,TD,Klinik
IN6281BRG0006,IN6281,2022-01-30,CUST55415,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,10,DUS,28192,IDR,205,OGB & PH,Bekasi,TA,Apotek
IN6226BRG0007,IN6226,2022-01-31,CUST55416,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,23,DUS,105618.3,IDR,206,ETIKAL,Padang,EPM,Apotek
IN6063BRG0008,IN6063,2022-02-01,CUST55417,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,12,DUS,47902.800000000003,IDR,204,MARCKS,Aceh,EPM,Apotek
IN6131BRG0009,IN6131,2022-01-27,CUST55418,APOTEK MAJA,BRG0009,AMBROXOL HC,5780.6999999999998,10,DUS,57807,IDR,207,VNS,Kuningan,TA,Apotek
IN6262BRG0010,IN6262,2022-01-28,CUST55419,KLINIK GM,BRG0010,PARACETAMOL,6940.3000000000002,67,DUS,465000.10000000003,IDR,208,SLCYL,Jakarta,TA,Klinik
IN6028BRG0001,IN6028,2022-01-23,CUST55420,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,98,DUS,114651.18000000001,IDR,206,OGB & PH,Bandung,TA,Apotek
IN6163BRG0002,IN6163,2022-01-30,CUST55421,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,5,DUS,11687.5,IDR,203,ETIKAL,Tangerang,TD,Klinik
IN6191BRG0003,IN6191,2022-01-31,CUST55422,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,10690.6,4,DUS,42762.400000000001,IDR,210,MARCKS,Bekasi,TA,Apotek
IN6274BRG0004,IN6274,2022-02-01,CUST55423,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,8,DUS,69605.600000000006,IDR,201,VNS,Padang,EPM,Apotek
IN6003BRG0005,IN6003,2022-01-27,CUST55424,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,9,DUS,50834.700000000004,IDR,203,SLCYL,Lampung,TD,Klinik
IN6247BRG0006,IN6247,2022-01-28,CUST55425,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,10,DUS,28192,IDR,205,OGB & PH,Aceh,EPM,Apotek
IN6311BRG0007,IN6311,2022-01-23,CUST55426,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,7,DUS,32144.700000000004,IDR,206,ETIKAL,Kuningan,TA,Apotek
IN6248BRG0008,IN6248,2022-01-30,CUST55427,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,100,DUS,399190,IDR,204,MARCKS,Jakarta,TA,Klinik
IN6042BRG0009,IN6042,2022-01-31,CUST55428,APOTEK MERDEKA,BRG0009,AMBROXOL HC,5780.6999999999998,67,DUS,387306.89999999997,IDR,207,VNS,Bandung,TA,Apotek
IN6133BRG0010,IN6133,2022-02-01,CUST55429,KLINIK SAHABAT,BRG0010,PARACETAMOL,6940.3000000000002,78,DUS,541343.40000000002,IDR,208,SLCYL,Tangerang,TD,Klinik
IN6306BRG0001,IN6306,2022-01-27,CUST55430,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,45,DUS,52645.950000000004,IDR,206,OGB & PH,Bekasi,TA,Apotek
IN6253BRG0002,IN6253,2022-01-28,CUST55431,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,34,DUS,79475,IDR,203,ETIKAL,Padang,EPM,Apotek
IN5980BRG0003,IN5980,2022-01-23,CUST55432,APOTEK TAPAK,BRG0003,AMPICILLIN,10690.6,20,DUS,213812,IDR,210,MARCKS,Aceh,EPM,Apotek
IN6104BRG0004,IN6104,2022-01-30,CUST55433,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,45,DUS,391531.50000000006,IDR,201,VNS,Kuningan,TA,Apotek
IN6050BRG0005,IN6050,2022-01-31,CUST55434,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,34,DUS,192042.20000000001,IDR,203,SLCYL,Jakarta,TA,Klinik
IN6054BRG0006,IN6054,2022-02-01,CUST55435,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,34,DUS,95852.799999999988,IDR,205,OGB & PH,Bandung,TA,Apotek
IN6219BRG0001,IN6219,2022-01-27,CUST55436,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,4592.1000000000004,34,DUS,156131.40000000002,IDR,206,OGB & PH,Tangerang,TD,Klinik
IN6053BRG0002,IN6053,2022-01-28,CUST55437,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,3991.9000000000001,44,DUS,175643.60000000001,IDR,203,ETIKAL,Bekasi,TA,Apotek
IN6217BRG0003,IN6217,2022-01-23,CUST55438,APOTEK SAHABAT,BRG0003,AMPICILLIN,5780.6999999999998,5,DUS,28903.5,IDR,210,MARCKS,Padang,EPM,Apotek
IN6323BRG0004,IN6323,2022-01-30,CUST55439,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,6940.3000000000002,6,DUS,41641.800000000003,IDR,201,VNS,Lampung,TD,Klinik
IN6241BRG0001,IN6241,2022-01-31,CUST55440,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,1169.9100000000001,79,DUS,92422.889999999999,IDR,206,OGB & PH,Aceh,EPM,Apotek
IN6134BRG0002,IN6134,2022-02-01,CUST55441,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,2337.5,12,DUS,28050,IDR,203,ETIKAL,Kuningan,TA,Apotek
IN6124BRG0003,IN6124,2022-01-27,CUST55442,KLINIK GM,BRG0003,AMPICILLIN,10690.6,95,DUS,1015607,IDR,210,MARCKS,Jakarta,TA,Klinik
IN5981BRG0004,IN5981,2022-01-28,CUST55443,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,76,DUS,661253.20000000007,IDR,201,VNS,Bandung,TA,Apotek
IN6220BRG0005,IN6220,2022-01-23,CUST55444,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,48,DUS,271118.40000000002,IDR,203,SLCYL,Tangerang,TD,Klinik
IN6122BRG0006,IN6122,2022-01-30,CUST55445,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,21,DUS,59203.199999999997,IDR,205,OGB & PH,Bekasi,TA,Apotek
IN6255BRG0007,IN6255,2022-01-31,CUST55446,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,21,DUS,96434.100000000006,IDR,206,ETIKAL,Padang,EPM,Apotek
IN6005BRG0008,IN6005,2022-02-01,CUST55447,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,12,DUS,47902.800000000003,IDR,204,MARCKS,Aceh,EPM,Apotek
IN6327BRG0009,IN6327,2022-01-27,CUST55448,APOTEK MAJA,BRG0009,AMBROXOL HC,5780.6999999999998,25,DUS,144517.5,IDR,207,VNS,Kuningan,TA,Apotek
IN6119BRG0010,IN6119,2022-01-28,CUST55449,KLINIK GM,BRG0010,PARACETAMOL,6940.3000000000002,13,DUS,90223.900000000009,IDR,208,SLCYL,Jakarta,TA,Klinik
IN6233BRG0001,IN6233,2022-01-23,CUST55450,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,24,DUS,28077.840000000004,IDR,206,OGB & PH,Bandung,TA,Apotek
IN6235BRG0002,IN6235,2022-01-30,CUST55451,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,10,DUS,23375,IDR,203,ETIKAL,Tangerang,TD,Klinik
IN6263BRG0003,IN6263,2022-01-31,CUST55452,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,10690.6,130,DUS,1389778,IDR,210,MARCKS,Bekasi,TA,Apotek
IN6269BRG0004,IN6269,2022-02-01,CUST55453,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,12,DUS,104408.40000000001,IDR,201,VNS,Padang,EPM,Apotek
IN6188BRG0005,IN6188,2022-01-27,CUST55454,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,10,DUS,56483,IDR,203,SLCYL,Lampung,TD,Klinik
IN6116BRG0006,IN6116,2022-01-28,CUST55455,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,67,DUS,188886.39999999999,IDR,205,OGB & PH,Aceh,EPM,Apotek
IN6216BRG0007,IN6216,2022-01-23,CUST55456,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,98,DUS,450025.80000000005,IDR,206,ETIKAL,Kuningan,TA,Apotek
IN6099BRG0008,IN6099,2022-01-30,CUST55457,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,5,DUS,19959.5,IDR,204,MARCKS,Jakarta,TA,Klinik
IN6326BRG0009,IN6326,2022-01-31,CUST55458,APOTEK MERDEKA,BRG0009,AMBROXOL HC,5780.6999999999998,4,DUS,23122.799999999999,IDR,207,VNS,Bandung,TA,Apotek
IN6267BRG0010,IN6267,2022-02-01,CUST55459,KLINIK SAHABAT,BRG0010,PARACETAMOL,6940.3000000000002,8,DUS,55522.400000000001,IDR,208,SLCYL,Tangerang,TD,Klinik
IN6238BRG0001,IN6238,2022-01-27,CUST55460,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,9,DUS,10529.190000000001,IDR,206,OGB & PH,Bekasi,TA,Apotek
IN6214BRG0002,IN6214,2022-01-28,CUST55461,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,21,DUS,49087.5,IDR,203,ETIKAL,Padang,EPM,Apotek
IN6318BRG0003,IN6318,2022-01-23,CUST55462,APOTEK TAPAK,BRG0003,AMPICILLIN,10690.6,21,DUS,224502.60000000001,IDR,210,MARCKS,Aceh,EPM,Apotek
IN6256BRG0004,IN6256,2022-01-30,CUST55463,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,12,DUS,104408.40000000001,IDR,201,VNS,Kuningan,TA,Apotek
IN6048BRG0005,IN6048,2022-01-31,CUST55464,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,25,DUS,141207.5,IDR,203,SLCYL,Jakarta,TA,Klinik
IN6120BRG0006,IN6120,2022-02-01,CUST55465,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,13,DUS,36649.599999999999,IDR,205,OGB & PH,Bandung,TA,Apotek
IN6161BRG0001,IN6161,2022-01-27,CUST55466,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,4592.1000000000004,24,DUS,110210.40000000001,IDR,206,OGB & PH,Tangerang,TD,Klinik
IN6292BRG0002,IN6292,2022-01-28,CUST55467,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,3991.9000000000001,10,DUS,39919,IDR,203,ETIKAL,Bekasi,TA,Apotek
IN6286BRG0003,IN6286,2022-01-23,CUST55468,APOTEK SAHABAT,BRG0003,AMPICILLIN,5780.6999999999998,120,DUS,693684,IDR,210,MARCKS,Padang,EPM,Apotek
IN6008BRG0004,IN6008,2022-01-30,CUST55469,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,6940.3000000000002,12,DUS,83283.600000000006,IDR,201,VNS,Lampung,TD,Klinik
IN6040BRG0001,IN6040,2022-01-31,CUST55470,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,1169.9100000000001,10,DUS,11699.1,IDR,206,OGB & PH,Aceh,EPM,Apotek
IN6084BRG0002,IN6084,2022-02-01,CUST55471,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,2337.5,67,DUS,156612.5,IDR,203,ETIKAL,Kuningan,TA,Apotek
IN6074BRG0003,IN6074,2022-01-27,CUST55472,KLINIK GM,BRG0003,AMPICILLIN,10690.6,98,DUS,1047678.8,IDR,210,MARCKS,Jakarta,TA,Klinik
IN6200BRG0004,IN6200,2022-01-28,CUST55473,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,5,DUS,43503.5,IDR,201,VNS,Bandung,TA,Apotek
IN6065BRG0005,IN6065,2022-01-23,CUST55474,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,4,DUS,22593.200000000001,IDR,203,SLCYL,Tangerang,TD,Klinik
IN6208BRG0006,IN6208,2022-01-30,CUST55475,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,8,DUS,22553.599999999999,IDR,205,OGB & PH,Bekasi,TA,Apotek
IN6148BRG0007,IN6148,2022-01-31,CUST55476,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,9,DUS,41328.900000000001,IDR,206,ETIKAL,Padang,EPM,Apotek
IN6072BRG0008,IN6072,2022-02-01,CUST55477,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,1,DUS,3991.9000000000001,IDR,204,MARCKS,Aceh,EPM,Apotek
IN6095BRG0009,IN6095,2022-01-27,CUST55478,APOTEK MAJA,BRG0009,AMBROXOL HC,5780.6999999999998,5,DUS,28903.5,IDR,207,VNS,Kuningan,TA,Apotek
IN6049BRG0010,IN6049,2022-01-28,CUST55479,KLINIK GM,BRG0010,PARACETAMOL,6940.3000000000002,9,DUS,62462.700000000004,IDR,208,SLCYL,Jakarta,TA,Klinik
IN6039BRG0001,IN6039,2022-01-23,CUST55480,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,13,DUS,15208.830000000002,IDR,206,OGB & PH,Bandung,TA,Apotek
IN6276BRG0002,IN6276,2022-01-30,CUST55481,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,1,DUS,2337.5,IDR,203,ETIKAL,Tangerang,TD,Klinik
IN6015BRG0003,IN6015,2022-01-31,CUST55482,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,10690.6,5,DUS,53453,IDR,210,MARCKS,Bekasi,TA,Apotek
IN6185BRG0004,IN6185,2022-02-01,CUST55483,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,9,DUS,78306.300000000003,IDR,201,VNS,Padang,EPM,Apotek
IN6258BRG0005,IN6258,2022-01-27,CUST55484,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,1,DUS,5648.3000000000002,IDR,203,SLCYL,Lampung,TD,Klinik
IN6070BRG0006,IN6070,2022-01-28,CUST55485,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,23,DUS,64841.599999999999,IDR,205,OGB & PH,Aceh,EPM,Apotek
IN6210BRG0007,IN6210,2022-01-23,CUST55486,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,4,DUS,18368.400000000001,IDR,206,ETIKAL,Kuningan,TA,Apotek
IN6083BRG0008,IN6083,2022-01-30,CUST55487,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,3991.9000000000001,2,DUS,7983.8000000000002,IDR,204,MARCKS,Jakarta,TA,Klinik
IN6322BRG0009,IN6322,2022-01-31,CUST55488,APOTEK MERDEKA,BRG0009,AMBROXOL HC,5780.6999999999998,17,DUS,98271.899999999994,IDR,207,VNS,Bandung,TA,Apotek
IN6291BRG0010,IN6291,2022-02-01,CUST55489,KLINIK SAHABAT,BRG0010,PARACETAMOL,6940.3000000000002,11,DUS,76343.300000000003,IDR,208,SLCYL,Tangerang,TD,Klinik
IN6062BRG0001,IN6062,2022-01-27,CUST55490,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,1169.9100000000001,11,DUS,12869.01,IDR,206,OGB & PH,Bekasi,TA,Apotek
IN6167BRG0002,IN6167,2022-01-28,CUST55491,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,2337.5,12,DUS,28050,IDR,203,ETIKAL,Padang,EPM,Apotek
IN6289BRG0003,IN6289,2022-01-23,CUST55492,APOTEK TAPAK,BRG0003,AMPICILLIN,10690.6,25,DUS,267265,IDR,210,MARCKS,Aceh,EPM,Apotek
IN6305BRG0004,IN6305,2022-01-30,CUST55493,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,13,DUS,113109.10000000001,IDR,201,VNS,Kuningan,TA,Apotek
IN6079BRG0005,IN6079,2022-01-31,CUST55494,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,34,DUS,192042.20000000001,IDR,203,SLCYL,Jakarta,TA,Klinik
IN6320BRG0006,IN6320,2022-02-01,CUST55495,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,67,DUS,188886.39999999999,IDR,205,OGB & PH,Bandung,TA,Apotek
IN6103BRG0001,IN6103,2022-01-27,CUST55496,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,4592.1000000000004,15,DUS,68881.5,IDR,206,OGB & PH,Tangerang,TD,Klinik
IN6172BRG0002,IN6172,2022-01-28,CUST55497,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,3991.9000000000001,12,DUS,47902.800000000003,IDR,203,ETIKAL,Bekasi,TA,Apotek
IN6183BRG0003,IN6183,2022-01-23,CUST55498,APOTEK SAHABAT,BRG0003,AMPICILLIN,5780.6999999999998,25,DUS,144517.5,IDR,210,MARCKS,Padang,EPM,Apotek
IN6278BRG0004,IN6278,2022-01-30,CUST55499,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,6940.3000000000002,13,DUS,90223.900000000009,IDR,201,VNS,Lampung,TD,Klinik
IN6186BRG0001,IN6186,2022-01-31,CUST55500,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,1169.9100000000001,17,DUS,19888.470000000001,IDR,206,OGB & PH,Aceh,EPM,Apotek
IN6211BRG0002,IN6211,2022-02-01,CUST55501,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,2337.5,18,DUS,42075,IDR,203,ETIKAL,Kuningan,TA,Apotek
IN6118BRG0003,IN6118,2022-01-27,CUST55502,KLINIK GM,BRG0003,AMPICILLIN,10690.6,18,DUS,192430.80000000002,IDR,210,MARCKS,Jakarta,TA,Klinik
IN6162BRG0004,IN6162,2022-01-28,CUST55503,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,8700.7000000000007,12,DUS,104408.40000000001,IDR,201,VNS,Bandung,TA,Apotek
IN6221BRG0005,IN6221,2022-01-23,CUST55504,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,5648.3000000000002,25,DUS,141207.5,IDR,203,SLCYL,Tangerang,TD,Klinik
IN6170BRG0006,IN6170,2022-01-30,CUST55505,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,2819.1999999999998,13,DUS,36649.599999999999,IDR,205,OGB & PH,Bekasi,TA,Apotek
IN6045BRG0007,IN6045,2022-01-31,CUST55506,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,4592.1000000000004,21,DUS,96434.100000000006,IDR,206,ETIKAL,Padang,EPM,Apotek
