id_penjualan,id_invoice,tanggal,id_customer,nama_customer,nama_barang,cabang_sales,id_distributor,group_category,jumlah_barang,total_barang,total_pembelian
IN6002BRG0007,IN6002,2022-02-04,CUST55546,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,13,1,59697.300000000003
IN6003BRG0005,IN6003,2022-01-27,CUST55424,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,9,1,50834.700000000004
IN6004BRG0010,IN6004,2022-05-01,CUST55729,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,5,1,34701.5
IN6005BRG0008,IN6005,2022-02-01,CUST55447,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,12,1,47902.800000000003
IN6006BRG0005,IN6006,2022-02-12,CUST55554,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,5,1,28241.5
IN6007BRG0006,IN6007,2022-05-02,CUST55715,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,9,1,25372.799999999999
IN6008BRG0004,IN6008,2022-01-30,CUST55469,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,12,1,83283.600000000006
IN6009BRG0008,IN6009,2022-04-28,CUST55637,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,76,1,303384.40000000002
IN6010BRG0001,IN6010,2022-05-31,CUST55676,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,5,1,22960.5
IN6011BRG0008,IN6011,2022-02-25,CUST55567,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,10,1,39919
IN6012BRG0003,IN6012,2022-06-16,CUST55712,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,5,1,53453
IN6013BRG0002,IN6013,2022-01-28,CUST55407,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,25,1,99797.5
IN6014BRG0002,IN6014,2022-03-21,CUST55591,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,34,1,79475
IN6015BRG0003,IN6015,2022-01-31,CUST55482,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,5,1,53453
IN6016BRG0010,IN6016,2022-03-09,CUST55579,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,5,1,34701.5
IN6017BRG0004,IN6017,2022-02-01,CUST55513,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,23,1,200116.10000000001
IN6018BRG0003,IN6018,2022-04-01,CUST55602,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,13,1,138977.80000000002
IN6019BRG0004,IN6019,2022-04-20,CUST55663,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,12,1,104408.40000000001
IN6020BRG0002,IN6020,2022-03-11,CUST55581,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,1,1,2337.5
IN6021BRG0001,IN6021,2022-04-19,CUST55620,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,7,1,8189.3700000000008
IN6022BRG0005,IN6022,2022-05-23,CUST55654,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,9,1,50834.700000000004
IN6023BRG0010,IN6023,2022-02-01,CUST55399,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,15,1,104104.5
IN6024BRG0005,IN6024,2022-01-27,CUST55394,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,12,1,67779.600000000006
IN6025BRG0004,IN6025,2022-01-30,CUST55523,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,7,1,60904.900000000009
IN6026BRG0003,IN6026,2022-02-16,CUST55558,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,21,1,121394.7
IN6027BRG0003,IN6027,2022-04-11,CUST55612,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,10,1,106906
IN6028BRG0001,IN6028,2022-01-23,CUST55420,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,98,1,114651.18000000001
IN6029BRG0010,IN6029,2022-01-28,CUST55389,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,4,1,27761.200000000001
IN6030BRG0004,IN6030,2022-05-01,CUST55709,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,10,1,69403
IN6031BRG0001,IN6031,2022-04-15,CUST55616,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,4,1,18368.400000000001
IN6032BRG0004,IN6032,2022-06-03,CUST55679,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,23,1,159626.89999999999
IN6033BRG0009,IN6033,2022-06-12,CUST55688,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,34,1,196543.79999999999
IN6034BRG0003,IN6034,2022-02-20,CUST55562,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,13,1,138977.80000000002
IN6035BRG0007,IN6035,2022-04-25,CUST55626,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,20,1,91842
IN6036BRG0009,IN6036,2022-01-27,CUST55388,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,23,1,132956.10000000001
IN6037BRG0002,IN6037,2022-05-03,CUST55721,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,45,1,105187.5
IN6038BRG0008,IN6038,2022-01-30,CUST55517,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,98,1,391206.20000000001
IN6039BRG0001,IN6039,2022-01-23,CUST55480,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,13,1,15208.830000000002
IN6040BRG0001,IN6040,2022-01-31,CUST55470,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,10,1,11699.1
IN6041BRG0001,IN6041,2022-02-28,CUST55570,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,5,1,5849.5500000000002
IN6042BRG0009,IN6042,2022-01-31,CUST55428,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,67,1,387306.89999999997
IN6043BRG0001,IN6043,2022-03-10,CUST55580,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,9,1,10529.190000000001
IN6044BRG0005,IN6044,2022-05-01,CUST55694,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,17,1,96021.100000000006
IN6045BRG0007,IN6045,2022-01-31,CUST55506,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,21,1,96434.100000000006
IN6046BRG0002,IN6046,2022-06-15,CUST55691,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,12,1,28050
IN6047BRG0006,IN6047,2022-04-26,CUST55635,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,12,1,33830.399999999994
IN6048BRG0005,IN6048,2022-01-31,CUST55464,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,25,1,141207.5
IN6049BRG0010,IN6049,2022-01-28,CUST55479,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,9,1,62462.700000000004
IN6050BRG0005,IN6050,2022-01-31,CUST55434,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,34,1,192042.20000000001
IN6051BRG0004,IN6051,2022-03-23,CUST55593,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,15,1,130510.50000000001
IN6052BRG0006,IN6052,2022-01-23,CUST55385,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,5,1,14096
IN6053BRG0002,IN6053,2022-01-28,CUST55437,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,44,1,175643.60000000001
IN6054BRG0006,IN6054,2022-02-01,CUST55435,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,34,1,95852.799999999988
IN6055BRG0004,IN6055,2022-03-13,CUST55583,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,4,1,34802.800000000003
IN6056BRG0002,IN6056,2022-04-20,CUST55621,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,100,1,233750
IN6057BRG0003,IN6057,2022-05-17,CUST55648,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,10,1,57807
IN6058BRG0003,IN6058,2022-01-27,CUST55532,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,34,1,363480.40000000002
IN6059BRG0004,IN6059,2022-06-07,CUST55683,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,11,1,95707.700000000012
IN6060BRG0004,IN6060,2022-02-01,CUST55543,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,21,1,182714.70000000001
IN6061BRG0007,IN6061,2022-02-24,CUST55566,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,12,1,55105.200000000004
IN6062BRG0001,IN6062,2022-01-27,CUST55490,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,11,1,12869.01
IN6063BRG0008,IN6063,2022-02-01,CUST55417,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,12,1,47902.800000000003
IN6064BRG0006,IN6064,2022-01-28,CUST55515,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,10,1,28192
IN6065BRG0005,IN6065,2022-01-23,CUST55474,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,4,1,22593.200000000001
IN6066BRG0009,IN6066,2022-01-27,CUST55538,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,12,1,69368.399999999994
IN6067BRG0005,IN6067,2022-05-01,CUST55704,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,13,1,73427.900000000009
IN6068BRG0007,IN6068,2022-01-31,CUST55536,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,6,1,27552.600000000002
IN6069BRG0002,IN6069,2022-03-01,CUST55571,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,4,1,9350
IN6070BRG0006,IN6070,2022-01-28,CUST55485,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,23,1,64841.599999999999
IN6071BRG0007,IN6071,2022-04-27,CUST55636,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,95,1,436249.50000000006
IN6072BRG0008,IN6072,2022-02-01,CUST55477,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,1,1,3991.9000000000001
IN6073BRG0009,IN6073,2022-04-27,CUST55628,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,34,1,196543.79999999999
IN6074BRG0003,IN6074,2022-01-27,CUST55472,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,98,1,1047678.8
IN6075BRG0009,IN6075,2022-04-16,CUST55638,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,48,1,277473.59999999998
IN6076BRG0005,IN6076,2022-03-24,CUST55594,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,12,1,67779.600000000006
IN6077BRG0002,IN6077,2022-05-16,CUST55647,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,12,1,47902.800000000003
IN6078BRG0001,IN6078,2022-03-30,CUST55600,APOTEK MERDEKA,ACYCLOVIR DUS,Bandung,TA,Apotek,12,1,14038.920000000002
IN6079BRG0005,IN6079,2022-01-31,CUST55494,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,34,1,192042.20000000001
IN6080BRG0007,IN6080,2022-03-26,CUST55596,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,13,1,59697.300000000003
IN6081BRG0004,IN6081,2022-03-19,CUST55589,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,25,1,173507.5
IN6082BRG0002,IN6082,2022-04-16,CUST55617,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,8,1,31935.200000000001
IN6083BRG0008,IN6083,2022-01-30,CUST55487,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,2,1,7983.8000000000002
IN6084BRG0002,IN6084,2022-02-01,CUST55471,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,67,1,156612.5
IN6085BRG0002,IN6085,2022-03-31,CUST55601,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,25,1,58437.5
IN6086BRG0003,IN6086,2022-01-23,CUST55408,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,13,1,75149.099999999991
IN6087BRG0001,IN6087,2022-02-18,CUST55560,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,12,1,14038.920000000002
IN6088BRG0009,IN6088,2022-02-06,CUST55548,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,10,1,57807
IN6089BRG0007,IN6089,2022-01-25,CUST55386,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,9,1,41328.900000000001
IN6090BRG0006,IN6090,2022-05-24,CUST55655,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,21,1,59203.199999999997
IN6091BRG0008,IN6091,2022-06-11,CUST55687,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,13,1,51894.700000000004
IN6092BRG0005,IN6092,2022-03-14,CUST55584,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,2,1,11296.6
IN6093BRG0005,IN6093,2022-05-29,CUST55674,KLINIK GM,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Jakarta,TA,Klinik,13,1,73427.900000000009
IN6094BRG0001,IN6094,2022-05-02,CUST55710,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,67,1,78383.970000000001
IN6095BRG0009,IN6095,2022-01-27,CUST55478,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,5,1,28903.5
IN6096BRG0002,IN6096,2022-02-19,CUST55561,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,25,1,58437.5
IN6097BRG0009,IN6097,2022-04-30,CUST55718,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,100,1,578070
IN6098BRG0010,IN6098,2022-03-29,CUST55599,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,18,1,124925.40000000001
IN6099BRG0008,IN6099,2022-01-30,CUST55457,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,5,1,19959.5
IN6100BRG0002,IN6100,2022-06-01,CUST55677,APOTEK SINAR JAYA,ALERGINE TABLET SALUT,Bekasi,TA,Apotek,9,1,35927.099999999999
IN6101BRG0004,IN6101,2022-04-30,CUST55723,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,20,1,174014
IN6102BRG0003,IN6102,2022-01-31,CUST55392,APOTEK SINAR JAYA,AMPICILLIN,Bekasi,TA,Apotek,11,1,117596.60000000001
IN6103BRG0001,IN6103,2022-01-27,CUST55496,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,15,1,68881.5
IN6104BRG0004,IN6104,2022-01-30,CUST55433,APOTEK MAJA,TRAMADOL KAPSUL 50 MG,Kuningan,TA,Apotek,45,1,391531.50000000006
IN6105BRG0001,IN6105,2022-05-02,CUST55700,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,21,1,24568.110000000001
IN6106BRG0004,IN6106,2022-04-30,CUST55713,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,4,1,34802.800000000003
IN6107BRG0002,IN6107,2022-01-30,CUST55511,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,24,1,56100
IN6108BRG0004,IN6108,2022-01-30,CUST55409,KLINIK DR. ANDRI,TRAMADOL KAPSUL 50 MG,Lampung,TD,Klinik,21,1,145746.30000000002
IN6109BRG0003,IN6109,2022-06-16,CUST55702,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,12,1,128287.20000000001
IN6110BRG0007,IN6110,2022-03-06,CUST55576,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,9,1,41328.900000000001
IN6111BRG0008,IN6111,2022-05-26,CUST55657,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,12,1,47902.800000000003
IN6112BRG0007,IN6112,2022-05-03,CUST55726,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,34,1,156131.40000000002
IN6113BRG0001,IN6113,2022-01-27,CUST55400,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,12,1,14038.920000000002
IN6114BRG0010,IN6114,2022-02-27,CUST55569,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,98,1,680149.40000000002
IN6115BRG0007,IN6115,2022-05-03,CUST55716,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,10,1,45921
IN6116BRG0006,IN6116,2022-01-28,CUST55455,APOTEK TAPAK,KETOCONAZOLE TABLET 200 MG,Aceh,EPM,Apotek,67,1,188886.39999999999
IN6117BRG0008,IN6117,2022-05-22,CUST55667,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,5,1,19959.5
IN6118BRG0003,IN6118,2022-01-27,CUST55502,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,18,1,192430.80000000002
IN6119BRG0010,IN6119,2022-01-28,CUST55449,KLINIK GM,PARACETAMOL,Jakarta,TA,Klinik,13,1,90223.900000000009
IN6120BRG0006,IN6120,2022-02-01,CUST55465,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,13,1,36649.599999999999
IN6121BRG0007,IN6121,2022-05-21,CUST55666,APOTEK MAJA,ERGOTAMINE COFFEINE,Kuningan,TA,Apotek,98,1,450025.80000000005
IN6122BRG0006,IN6122,2022-01-30,CUST55445,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,21,1,59203.199999999997
IN6123BRG0008,IN6123,2022-06-16,CUST55697,KLINIK GM,TETRACYCLINE KAPSUL 250 MG,Jakarta,TA,Klinik,12,1,47902.800000000003
IN6124BRG0003,IN6124,2022-01-27,CUST55442,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,95,1,1015607
IN6125BRG0003,IN6125,2022-01-23,CUST55402,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,13,1,138977.80000000002
IN6126BRG0005,IN6126,2022-04-23,CUST55624,KLINIK SAHABAT,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Tangerang,TD,Klinik,45,1,254173.5
IN6127BRG0006,IN6127,2022-04-24,CUST55625,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,34,1,95852.799999999988
IN6128BRG0008,IN6128,2022-02-01,CUST55537,APOTEK TAPAK,TETRACYCLINE KAPSUL 250 MG,Aceh,EPM,Apotek,79,1,315360.10000000003
IN6129BRG0001,IN6129,2022-02-14,CUST55556,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,8,1,36736.800000000003
IN6130BRG0009,IN6130,2022-01-31,CUST55518,APOTEK MERDEKA,AMBROXOL HC,Bandung,TA,Apotek,5,1,28903.5
IN6131BRG0009,IN6131,2022-01-27,CUST55418,APOTEK MAJA,AMBROXOL HC,Kuningan,TA,Apotek,10,1,57807
IN6132BRG0003,IN6132,2022-04-30,CUST55708,APOTEK SAHABAT,AMPICILLIN,Padang,EPM,Apotek,12,1,69368.399999999994
IN6133BRG0010,IN6133,2022-02-01,CUST55429,KLINIK SAHABAT,PARACETAMOL,Tangerang,TD,Klinik,78,1,541343.40000000002
IN6134BRG0002,IN6134,2022-02-01,CUST55441,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,12,1,28050
IN6135BRG0001,IN6135,2022-02-08,CUST55550,APOTEK SINAR JAYA,ACYCLOVIR DUS,Bekasi,TA,Apotek,12,1,14038.920000000002
IN6136BRG0001,IN6136,2022-01-27,CUST55526,KLINIK SAHABAT,ACYCLOVIR DUS,Tangerang,TD,Klinik,78,1,358183.80000000005
IN6137BRG0004,IN6137,2022-03-03,CUST55573,APOTEK SAHABAT,TRAMADOL KAPSUL 50 MG,Padang,EPM,Apotek,9,1,78306.300000000003
IN6138BRG0002,IN6138,2022-04-18,CUST55661,KLINIK SAHABAT,ALERGINE TABLET SALUT,Tangerang,TD,Klinik,10,1,23375
IN6139BRG0004,IN6139,2022-04-22,CUST55623,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,78,1,678654.60000000009
IN6140BRG0006,IN6140,2022-03-25,CUST55595,APOTEK SINAR JAYA,KETOCONAZOLE TABLET 200 MG,Bekasi,TA,Apotek,25,1,70480
IN6141BRG0002,IN6141,2022-01-28,CUST55401,APOTEK SAHABAT,ALERGINE TABLET SALUT,Padang,EPM,Apotek,25,1,58437.5
IN6142BRG0005,IN6142,2022-05-01,CUST55724,KLINIK DR. ANDRI,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,Lampung,TD,Klinik,45,1,254173.5
IN6143BRG0006,IN6143,2022-05-02,CUST55705,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,24,1,67660.799999999988
IN6144BRG0004,IN6144,2022-01-22,CUST55383,APOTEK MERDEKA,TRAMADOL KAPSUL 50 MG,Bandung,TA,Apotek,13,1,113109.10000000001
IN6145BRG0003,IN6145,2022-04-20,CUST55642,APOTEK TAPAK,AMPICILLIN,Aceh,EPM,Apotek,25,1,267265
IN6146BRG0003,IN6146,2022-01-27,CUST55412,KLINIK GM,AMPICILLIN,Jakarta,TA,Klinik,25,1,267265
IN6147BRG0006,IN6147,2022-02-13,CUST55555,APOTEK MERDEKA,KETOCONAZOLE TABLET 200 MG,Bandung,TA,Apotek,4,1,11276.799999999999
IN6148BRG0007,IN6148,2022-01-31,CUST55476,APOTEK SAHABAT,ERGOTAMINE COFFEINE,Padang,EPM,Apotek,9,1,41328.900000000001
IN6149BRG0001,IN6149,2022-03-20,CUST55590,APOTEK TAPAK,ACYCLOVIR DUS,Aceh,EPM,Apotek,13,1,15208.830000000002
IN6150BRG0002,IN6150,2022-05-20,CUST55651,APOTEK MAJA,ALERGINE TABLET SALUT,Kuningan,TA,Apotek,5,1,11687.5
